Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1159681,11-Apr-11,M6P,6.00
1159681,11-Apr-11,M6P,6.00
1159682,12-Apr-11,M6P,<0.500
1159682,12-Apr-11,M6P,<0.500
1159683,12-Apr-11,M9B,<0.500
1159683,12-Apr-11,M9B,<0.500
1160388,15-Apr-11,M4M,3.00
1160388,15-Apr-11,M4M,3.00
1160389,15-Apr-11,M4M,2.00
1160389,15-Apr-11,M4M,2.00
1160408,13-Apr-11,M4C,6.00
1160408,13-Apr-11,M4C,6.00
1160417,13-Apr-11,M4J,<0.500
1160417,13-Apr-11,M4J,<0.500
1160421,12-Apr-11,M4E,0.900
1160421,12-Apr-11,M4E,0.900
1160435,12-Apr-11,M6G,1.00
1160435,12-Apr-11,M6G,1.00
1160437,11-Apr-11,M4B,<0.500
1160437,11-Apr-11,M4B,<0.500
1160437,11-Apr-11,M4B,<0.500
1160454,11-Apr-11,M4J,1.00
1160455,08-Apr-11,M4G,<0.500
1160455,08-Apr-11,M4G,<0.500
1160456,08-Apr-11,M4L,<0.500
1160456,08-Apr-11,M4L,0.500
1160457,06-Apr-11,M4J,10.0
1161711,14-Mar-11,M3A,<0.500
1161714,24-Mar-11,M4P,16.0
1161717,25-Mar-11,M4N,<0.500
1161741,25-Mar-11,M4M,6.00
1161742,26-Mar-11,M4L,6.00
1161743,27-Mar-11,M4N,12.0
1161745,28-Mar-11,M5M,20.0
1161746,29-Mar-11,M4M,9.00
1161747,31-Mar-11,M4J,2.00
1161749,30-Mar-11,M4G,<0.500
1161750,30-Mar-11,M6C,<0.500
1161751,30-Mar-11,M6E,<0.500
1161752,01-Apr-11,M6G,91.0
1161755,02-Apr-11,M6G,20.0
1161756,14-Apr-11,M2P,<0.500
1161757,04-Apr-11,M2N,<0.500
1161758,05-Apr-11,M5R,<0.500
1161759,05-Apr-11,M6R,<0.500
1161768,05-Apr-11,M6C,3.00
1161870,06-Apr-11,M4V,1.00
1161876,06-Apr-11,M6G,2.00
1161885,06-Apr-11,M5M,3.00
1161902,06-Apr-11,M4T,<0.500
1161907,07-Apr-11,M6J,4.00
1161909,07-Apr-11,M6C,28.0
1161909,07-Apr-11,M6C,28.0
1161921,07-Apr-11,M4R,3.00
1161927,07-Apr-11,M3A,<0.500
1161928,08-Apr-11,M4V,<0.500
1161928,08-Apr-11,M4V,<0.500
1161929,08-Apr-11,M5R,9.00
1161931,08-Apr-11,M4N,16.0
1161931,08-Apr-11,M4N,16.0
1161932,10-Apr-11,M4L,1.00
1161932,10-Apr-11,M4L,1.00
1161933,11-Apr-11,M4M,4.00
1161933,11-Apr-11,M4M,4.00
1161942,01-Apr-11,M4X,6.00
1161943,11-Apr-11,M5M,9.00
1161943,11-Apr-11,M5M,9.00
1161949,12-Apr-11,M6P,18.0
1161949,12-Apr-11,M6P,18.0
1161957,13-Apr-11,M4K,3.00
1161966,13-Apr-11,M4S,<0.500
1161966,13-Apr-11,M4S,<0.500
1161975,14-Apr-11,M4S,3.00
1161980,15-Apr-11,M6G,2060
1161981,15-Apr-11,M6G,8.00
1161981,15-Apr-11,M6G,8.00
1161982,15-Apr-11,M4N,0.800
1161982,15-Apr-11,M4N,0.800
1161984,15-Apr-11,M6N,5.00
1161984,15-Apr-11,M6N,5.00
1163208,11-Apr-11,M6G,3.00
1163208,11-Apr-11,M6G,3.00
